full_name,included_libraries
aus10powell/Fuzzy-Dempster-Shafer,"numpy, pandas, scipy, sklearn"
smidm/flashvideosynchronization,"joblib, matplotlib, numpy, opencv-python-headless, pyyaml, scikit-learn, scipy, tqdm"
morganics/bayesianpy,"jpype1, numpy, pandas, pathos, scikit-learn, scipy, sqlalchemy"
dtrckd/pymake,version
erickrf/nlpnet,"h5py, nltk, numpy, six"
lukauskas/dtwco,"cython, numpy"
tryton/proteus,python-dateutil
django-parler/django-parler,django
dictation-toolbox/Caster,"appdirs, dragonfly2, future, mock, pillow, scandir, tomlkit, windows, wxpython"
alvations/pywsd,"nltk, numpy, pandas, six, wn"
hltcoe/concrete-python,"boto, bottle, humanfriendly, networkx, pycountry, redis, requests, thrift"
chrislit/abydos,"deprecation, numpy"
pollen-robotics/dtw,"numpy, scipy"
mrkrd/cochlea,"numpy, pandas, scipy"
c-w/gutenberg,"bsddb3, future, pyparsing, rdflib, requests, setuptools, sparqlwrapper"
weblyzard/ewrt,"bz2file, google-api-python-client, google-cloud-storage, mwparserfromhell, oauth2client, redis, six, ujson, wikipedia"
maciejkula/glove-python,"numpy, scipy"
rodricios/autocomplete,bottle
vitruvianscience/OpenDeep,"numpy, pillow, theano"
buruzaemon/natto-py,cffi
jaijuneja/PyTLDR,"goose-extractor, networkx, nltk, numpy, scikit-learn, scipy"
kootenpv/sky,"aiohttp, beautifulsoup4, justext, lxml, python-dateutil, requests, tldextract, tornado"
UFAL-DSG/tgen,"enum34, numpy, pudb, recordclass, regex, rpyc, tensorflow, unicodecsv"
infermedica/python-api,requests
idiap/asrt,"nltk, num2words, roman, unicodecsv"
agermanidis/autosub,"google-api-python-client, pysrt, requests, six"
kennyjoseph/twitter_dm,"arrow, inflect, nltk, openpyxl, rauth, regex, requests, ujson"
rcbyron/hey-athena-client,"gtts, pocketsphinx, pyaudio, pyglet, pyyaml, requests, selenium, wolframalpha"
rizar/attention-lvcsr,"numpy, pandas, pyfst, pykwalify, pyyaml, toposort"
senarvi/theanolm,"h5py, numpy, theano"
tensorpack/tensorpack,"numpy, pyzmq, six, tabulate, termcolor, tqdm"
smilli/py-corenlp,requests
iamaziz/PyDataset,pandas
learntextvis/textkit,"chardet, click, nltk, unidecode"
5hirish/adam_qas,"gensim, lxml, pandas, pyenchant, requests, scikit-learn, spacy, wikipedia"
mead-ml/mead-baseline,"numpy, six"
kundajelab/deeplift,numpy
openeventdata/mordecai,"editdistance, elasticsearch, elasticsearch-dsl, h5py, numpy, pandas, spacy, tensorflow, tqdm"
hltcoe/PredPatt,"bottle, concrete, future, jpype1, nltk, tabulate, termcolor"
natasha/natasha,"navec, pymorphy2, razdel, yargy"
anttttti/Wordbatch,"cython, numpy, pandas, py-lz4framed, python-levenshtein, randomgen, scikit-learn, scipy, wheel"
natasha/yargy,pymorphy2
krzysiekfonal/textpipeliner,spacy
fabiencro/knmt,"chainer, numpy, plotly"
bmschmidt/pySRP,"numpy, regex, sqlitedict"
mcs07/ChemDataExtractor,"appdirs, beautifulsoup4, click, cssselect, lxml, nltk, pdfminer-six, python-crfsuite, python-dateutil, pyyaml, requests, six"
FraBle/python-duckling,"jpype1, python-dateutil, six"
elitcloud/elit,"gensim, gluonnlp, marisa-trie, mxnet, numpy, tqdm"
zzw922cn/Automatic_Speech_Recognition,"leven, numpy, scipy, sklearn"
gutfeeling/word_forms,"inflect, nltk"
openAGI/tefla,"click, cython, matplotlib, numpy, opencv-python, pandas, pillow, portpicker, prettytable, pydensecrf, pyyaml, scikit-image, scikit-learn, scipy, setuptools, sharedarray, six"
xinjli/pytensor,"numpy, scikit-learn"
nonebot/nonebot,aiocqhttp
treethought/flask-assistant,"aniso8601, flask, google-auth, google-cloud-dialogflow, requests, ruamel-yaml"
rizal72/Cozmo-Voice-Commands,termcolor
ebursztein/sitefab,"blis, cachetools, catalogue, certifi, click, confection, cymem, cytoolz, diskcache, gensim, idna, jellyfish, jinja2, joblib, markupsafe, mistune, murmurhash, networkx, numpy, packaging, pillow, preshed, pydantic, pygments, pyphen, pytz, pyyaml, requests, scikit-learn, scipy, smart-open, spacy, spacy-legacy, spacy-loggers, srsly, tabulate, termcolor, terminaltables, textacy, thinc, threadpoolctl, toolz, toposort, tqdm, typer, typing-extensions, urllib3, xxhash"
