full_name,included_libraries
kelvingakuo/fycharts,"click, colorama, pandas, requests"
Christensen-Lab-Dartmouth/PyMethylProcess,"click, cvxpy, cython, fancyimpute, mlxtend, networkx, nevergrad, numpy, pandas, pathos, plotly, rpy2, scikit-learn, seaborn, shap, umap-learn"
sphinxteam/tramp,"daft, networkx, numpy, pandas, scipy"
juntossomosmais/regex4ocr,"pyyaml, unidecode"
kiankd/corel2019,numpy
Hourout/tensordata,"rarfile, requests"
Accenture/AmpliGraph,"docopt, docutils, flake8, myst-parser, networkx, numpy, pandas, pytest, pyyaml, rdflib, schema, scikit-learn, scipy, setuptools, sphinx, sphinx-rtd-theme, sphinxcontrib-bibtex, tqdm"
oxwhirl/smac,"absl-py, numpy, pygame"
juglab/n2v,"imagecodecs, numpy, tifffile"
Illumina/SpliceAI,"keras, numpy, pandas, pyfaidx, pysam"
jsbroks/imantics,"lxml, numpy, opencv-python"
stefmolin/stock-analysis,"mplfinance, numpy, pandas, pandas-datareader, seaborn, statsmodels, yfinance"
google/revisiting-self-supervised,"absl-py, future, numpy, tensorflow"
PML-UCF/pinn,"numpy, tensorflow"
DAI-Lab/RivaGAN,"numpy, opencv-python, pandas, torch, torch-dct"
p-christ/nn_builder,"mac, tensorflow, tensorflow-gpu"
pydsgz/DeepVOG,"keras, numpy, scikit-image, tensorflow-gpu"
alison-carrera/mabalgs,numpy
philipjackson/style-augmentation,"numpy, torch, torchvision"
MaterSim/PyXtal_FF,"ase, monty, numba, numpy, phonopy, scipy, seekpath, spglib, torch"
BYUCamachoLab/SiPANN,tensorflow
wbaek/torchskeleton,"sklearn, torch, torchvision, tqdm, treelib"
daniel-muthukrishna/astrorapid,"astropy, keras, keras-tcn, pandas, scikit-learn, tensorflow"
DavidNemeskey/cc_corpus,"atoma, beautifulsoup4, boto3, botocore, datasketch, fastapi, justext, lxml, more-itertools, multiprocessing-logging, pybtex, python-magic, pyyaml, redis, requests, requests-toolbelt, simplejson, sqlalchemy, tldextract, tqdm, trafilatura, typing, uvicorn"
institutedigitalgames/PLT,"keras, numpy, pandas, scikit-learn, scipy, tensorflow, ttkthemes"
stdogpkg/emate,"numpy, scipy"
Luolc/AdaBound,torch
google-research/disentanglement_lib,"future, imageio, numpy, pandas, pillow, scikit-learn, scipy, seaborn, simplejson, six, tensorflow-probability"
google-research/planet,"dm-control, gym, ruamel-yaml, scikit-image, scipy, tensorflow-gpu, tensorflow-probability"
d6t/d6tflow,"pandas, pyarrow"
smellslikeml/ActionAI,"opencv-contrib-python, pandas, pillow, scikit-learn, scipy, tensorflow, tqdm"
kenjyoung/MinAtar,"cycler, kiwisolver, numpy, pandas, pyparsing, python-dateutil, pytz, scipy, seaborn, six"
titu1994/tfdiffeq,"numpy, scipy"
Cadene/murel.bootstrap.pytorch,"opencv-python, pretrainedmodels"
tofunlp/lineflow,gdown
d6t/d6tpipe,"boto3, botocore, cachetools, click, pyjwt, pyyaml, tinydb, tinydb-serialization, tqdm"
danielzuegner/gnn-meta-attack,"numpy, scikit-learn, scipy, tensorflow"
logicalclocks/maggy,"numpy, scikit-optimize, scipy, statsmodels"
jamesross2/Bayesian-HMM,"numpy, scipy, sympy, terminaltables, tqdm"
AlessioZanga/PyEEGLab,"dataclasses, mne, numpy, pandas, scipy, sqlalchemy, wfdb"
ntivirikin/xeno-canto-py,"aiofiles, aiohttp"
datamllab/autokaggle,"lightgbm, numpy, pandas, scikit-learn, scipy"
Minyus/optkeras,"keras, numpy"
rgmyr/corebreakout,"cython, dill, h5py, imgaug, keras, numpy, opencv-python, pillow, scikit-image, scipy"
notsambeck/pandabase,"pandas, sqlalchemy"
mickaelseznec/flowpy,"numpy, pypng, scipy"
microsoft/Annotation-Factory,"jinja2, jsonschema, xmltodict"
stefmolin/login-attempt-simulator,"numpy, pandas"
claudio-unipv/pvml,"numpy, pillow"
huggingface/knockknock,"keyring, matrix-client, python-telegram-bot, requests, twilio, yagmail"
THUDM/CogDL,"flake8, gensim, importlib-metadata, networkx, ninja, numba, numpy, scikit-learn, scipy, sentencepiece, tabulate, torch, tqdm, transformers"
NVIDIA/retinanet-examples,"pillow, requests, torch, torchvision"
asyml/texar-pytorch,"funcsigs, mypy-extensions, numpy, packaging, regex, requests, sentencepiece, six"
xavierpuigf/virtualhome,"certifi, chardet, idna, ipdb, networkx, numpy, opencv-python, pillow, plotly, requests, termcolor, tqdm, urllib3"
OceanPang/Libra_R-CNN,"numpy, pycocotools, six, terminaltables"
reneshbedre/bioinfokit,"numpy, pandas, scikit-learn, scipy, seaborn, statsmodels, tabulate, textwrap3"
marcellodebernardi/loss-landscapes,numpy
feedly/transfer-nlp,"numpy, toml"
THUDM/KOBE,"bert-score, cached-property, gdown, isort, joblib, pandas, pytest, pytorch-lightning, sacrebleu, scipy, sentencepiece, torch, tqdm, webdataset"
ChrisWaites/pyvacy,"torch, torch-vision"
uber-research/EvoGrad,"numpy, torch"
lopuhin/transformer-lm,"attrs, numpy, sentencepiece, torch"
AndreasMadsen/stable-nalu,"numpy, pandas, scipy, tensorboard, tensorboardx, tensorflow, torch, torchvision, tqdm"
loukasa/graph-coarsening,"numpy, scipy, sortedcontainers"
bond005/deep_ner,"nltk, numpy, pymorphy2, scikit-learn, scipy, spacy, tensorboard, tensorflow"
mikahama/natas,"configargparse, distance, spacy"
apcamargo/RNAsamba,"biopython, h5py, keras, numpy, tensorflow"
informagi/GeeseDB,"ciff-toolkit, duckdb, numpy, pandas, tqdm"
julianmack/Data_Assimilation,"pyevtk, torch, torchvision"
gkdziugaite/pacbayes-opt,"keras, numpy, tensorflow"
unibit-api/python-unibit,requests
rnajena/vidhop,"click, numpy, pandas, scikit-learn, tensorflow"
ctokheim/deepDegron,"keras, numpy, pandas, scipy, sklearn, tensorflow, varcode"
neurom-iot/n3ml,"numpy, scikit-learn"
yangarbiter/adversarial-nonparametrics,"cvxopt, cython, joblib, numpy, scikit-learn, scipy, six"
dalenguyen/stockai,"ciso8601, loguru, requests"
autognc/starfish,"numpy, opencv-python"
DanieleAlessandro/KENN,"numpy, tensorflow"
minimaxir/gpt-2-simple,"numpy, regex, requests, tensorflow, toposort, tqdm"
NVIDIA/MinkowskiEngine,"numpy, torch"
Harry24k/adversarial-attacks-pytorch,"numpy, requests, scipy, torch, torchvision, tqdm"
garethdmm/gryphon,"alembic, babel, cement, certifi, chardet, coinbase, contextlib2, cython, decorator, enum34, futures, idna, ipython, line-profiler, markupsafe, mock, more-itertools, mysql-python, nose, pathlib2, pexpect, pickleshare, prompt-toolkit, ptyprocess, pygments, pylibmc, python-dotenv, pytz, redis, rednose, requests, requests-futures, requests-toolbelt, retrying, scandir, simplegeneric, six, sqlalchemy, termcolor, traitlets, urllib3, wcwidth, websocket-client"
videoflow/videoflow,"numpy, opencv-python, requests, six"
apm1467/videocr,"fuzzywuzzy, opencv-python, pytesseract, python-levenshtein"
valeoai/ADVENT,"cffi, easydict, future, pyyaml, scikit-image, scipy, setuptools, tensorboardx, tqdm"
leymir/hyperbolic-image-embeddings,"numpy, scipy"
NVIDIA-AI-IOT/jetcard,adafruit-ssd1306
ZitongLu1996/NeuroRA,"mne, nibabel, numpy, scikit-image, scikit-learn, scipy"
ivannz/cplxmodule,"numpy, scipy, torch"
materialsvirtuallab/mlearn,"monty, numpy, pandas, pymatgen, scikit-learn"
KevinMenden/scaden,"anndata, click, h5py, numpy, pandas, rich, scikit-learn, tensorflow"
AubreyC/trajectory-extractor,"cython, imgaug, ipython, keras, numpy, opencv-contrib-python, opencv-python, pandas, pycocotools, pytest, pyyaml, scikit-image, scipy, tensorflow"
fmorenopino/HeterogeneousHMM,"numpy, prettytable, scikit-learn, scipy, seaborn"
deepdiy/deepdiy,"keras, numpy, opencv-python, pysnooper, scipy, tensorflow"
TRI-AMDD/CAMD,"awscli, boto3, docopt, matminer, networkx, python-dateutil, watchtower"
XAI-ANITI/ethik,"imageio, joblib, numpy, pandas, plotly, scipy, tqdm"
pfnet/pfio,"boto3, deprecation, urllib3"
mirapy-org/mirapy,"astropy, install-requires"
augerai/a2ml,"asyncio, boto3, click, docutils, joblib, jsonpickle, multiprocess, numpy, pandas, pyarrow, requests, ruamel-yaml, scipy, smart-open, websockets, xlrd"
paradigmn/ultrastar_pitch,"numpy, onnxruntime, scipy"
jizongFox/deep-clustering-toolbox,"behave, easydict, gdown, numpy, opencv-python, pandas, pillow, py, pyyaml, requests, scikit-image, scikit-learn, tensorboard, tensorboardx, termcolor, torch, torchvision, tqdm"
dmolony3/DeepIVUS,"click, numpy, pydicom, pyqt5, scikit-image, scipy, tensorflow"
rsanchezgarc/micrograph_cleaner_em,"joblib, scikit-image, scipy"
rgmyr/litholog,"numpy, pandas, scipy"
JonathanWenger/pycalib,"betacal, numpy, pandas, pretrainedmodels, scikit-learn, scipy, tensorflow, torch, torchvision, xgboost"
StochSS/sciope,"dask, distributed, ipywidgets, numpy, scikit-learn, scipy, umap-learn"
vchoutas/smplx,"numpy, torch"
Stonesjtu/pytorch_memlab,"pandas, setuptools, torch"
argoverse/argoverse-api,"colour, descartes, h5py, imageio, motmetrics, numba, numpy, omegaconf, opencv-python, pandas, pillow, polars, pyntcloud, scipy, shapely, sklearn, tqdm, typing-extensions"
zasdfgbnm/TorchSnooper,"numpy, pysnooper"
vita-epfl/monoloco,"pillow, pyyaml"
dsfsi/textaugment,"gensim, googletrans, nltk, numpy, textblob"
PistonY/torch-toolbox,"lmdb, numpy, opencv-python, prettytable, pyarrow, pyyaml, scikit-learn, scipy, six, tensorboard, tqdm, transformers"
locuslab/SATNet,torch
frankkramer-lab/MIScnn,"nibabel, numpy, pandas, pillow, pydicom, scikit-image, simpleitk, tensorflow, tensorflow-addons, tqdm"
jgraving/DeepPoseKit,"h5py, imgaug, numpy, opencv-python, pandas, pyyaml"
praveen-palanisamy/macad-gym,"carla, gym, networkx, opencv-python, pygame"
inarikami/keras-rl2,tensorflow
tensorpack/dataflow,"msgpack-numpy, numpy, pyzmq, six, tabulate, termcolor, tqdm"
jennyzhang0215/STAR-GCN,"logging, numpy, pandas, pyyaml, scipy, six, sklearn, spacy"
tlatkowski/gans-2.0,"easydict, imageio, overrides, pillow, pyyaml, tensorflow-addons, tensorflow-datasets, tqdm"
ermongroup/subsets,"beautifulsoup4, click, keras, nltk, numpy, pandas, scikit-learn, scipy, tensorflow-gpu, torch, torchvision"
sigvaldm/localreg,"dill, numpy, scikit-learn, scipy"
inkyusa/gym_rotor,"numpy, pyglet, requests, scipy, six"
zubara/mneflow,"numpy, scipy"
fredzzhang/pocket,"numpy, scipy, torch, torchvision"
MLBazaar/AutoBazaar,"baytune, boto3, botocore, keras, mlblocks, mlprimitives, numpy, pandas, python-dateutil, scikit-learn"
haoliuhl/taming-maml,"gym, joblib, numpy, python-dateutil, scipy, tensorflow"
aws/sagemaker-mxnet-inference-toolkit,retrying
predict-idlab/seriesdistancematrix,"numpy, pandas, scipy"
libertyeagle/gcn_mobility_relationship,"numpy, scipy, tensorflow"
larq/zookeeper,"click, tensorflow-datasets, typeguard"
BirdVox/birdvoxclassify,"h5py, librosa, numpy, pandas, scipy, soundfile, tensorflow"
jwwangchn/wwtool,"geojson, geopandas, numpy, pyserial, rasterio, scikit-image, shapely, six, terminaltables"
ZebinYang/SeqUD,"joblib, numpy, pandas, scikit-learn, tqdm"
hcji/PyCFMID,"bs4, pubchempy, requests"
stefmolin/ml-utils,"numpy, pandas, scikit-learn, seaborn"
netrack/tensorcraft,"aiofiles, aiohttp, aiojobs, humanize, numpy, pyyaml, semver, tensorflow, tinydb"
anenriquez/mrta,simpy
facebookresearch/pycls,"numpy, opencv-python, simplejson, yacs"
songlab-cal/tape-neurips2019,"biopython, numpy, pandas, pillow, pymongo, sacred, tensorflow-gpu"
wywongbd/autocluster,"cycler, joblib, kiwisolver, numpy, pandas, pyparsing, python-dateutil, pytz, scikit-learn, scipy, six, sklearn"
yoyolicoris/spectrogram-inversion,"torch, tqdm"
gaorkl/simple-playgrounds,"arcade, gymnasium, numpy, pillow, pymunk, pytest, pyyaml, scikit-image, tqdm"
DPBayes/PLD-Accountant,"numpy, scipy"
briannemsick/barrage,"click, cytoolz, jsonschema, numpy, pandas"
Puumanamana/CoCoNet,"h5py, numpy, pandas, pyyaml, scikit-learn, scipy"
uuazed/numerai_reports,"fsspec, gcsfs, numerapi, pandas, pyarrow"
nlesc-nano/swan,"e3nn, gpytorch, h5py, numpy, pandas, pyyaml, requests, schema, scikit-learn, scipy, seaborn, torch-geometric"
chainhaus/pycorda,"chart-studio, jaydebeapi, pandas, pyjks, requests, scikit-learn"
josemarialuna/Chi-Index,"numpy, pandas, scikit-learn, scipy"
sahahn/BPt,"ipython, joblib, loky, nevergrad, numpy, pandas, scikit-image, scikit-learn, scipy, seaborn, threadpoolctl, tqdm"
isi-vista/adam,"attrs, more-itertools, networkx"
gabrielpetersson/recurrent-neural-network-in-numpy,"numpy, scikit-learn"
tensortrade-org/tensortrade,"deprecated, gymnasium, ipython, numpy, pandas, plotly, pyyaml, stochastic, tensorflow"
sktime/sktime-dl,"h5py, keras, keras-self-attention, seaborn, sktime"
ehsanhaghighat/sciann,"h5py, numpy, pybtex, pyyaml, scikit-learn, scipy, six"
RITCHIEHuang/DeepRL_Algorithms,"numpy, pandas, pyyaml, scipy, tensorboard, tensorflow, termcolor, torch, tqdm"
pabloppp/pytorch-tools,"ninja, numpy, torch, torchvision"
alexanderlerch/pyACA,"numpy, scipy"
tirthajyoti/doepy,"diversipy, numpy, pandas"
aws/sagemaker-pytorch-inference-toolkit,"boto3, numpy, retrying, scipy, six"
negrinho/deep_architect,"graphviz, keras, numpy, scikit-learn, scipy, tensorflow, torch"
Vermeille/Torchelie,"numpy, pillow, torch, torchvision"
MicrobeLab/DeepMicrobes,"absl-py, biopython, h5py, numpy, tensorboard, tensorflow, tensorflow-gpu"
asavinov/prosto,"numpy, pandas"
392781/FaceOff,"cmake, dlib, face-recognition-models, facenet-pytorch, numpy, pillow, torch, torchvision"
BatsResearch/wiser,allennlp
ornlpmcp/ASCENDS,"keras, np-utils, numpy, pandas, scikit-learn, tensorflow, tornado"
octoenergy/timeserio,"joblib, numpy, pandas"
almost-matching-exactly/DAME-FLAME-Python-Package,"numpy, pandas, scikit-learn, scipy"
gfjiangly/cvtools,"flask, numpy, opencv-python, pillow, pyyaml, requests, shapely, terminaltables, tqdm"
ncfrey/pumml,"matminer, monty, numpy, pandas, pymatgen, scikit-learn, scipy, seaborn"
drcassar/glasspy,"chemparse, compress-pickle, lightning, pandas, platformdirs, requests, scikit-learn, torch"
LinjianMa/AutoHOOT,"attrs, jax, numba, numpy, opt-einsum, ply, sparse, sympy, tensorflow"
amitness/fns,numpy
qingzma/DBEstClient,"category-encoders, dill, gensim, numpy, pandas, scikit-learn, scipy, sphinx, sqlparse, torch, tox"
datapastry/pypastry,"gitpython, pandas, pyarrow, pytest, scikit-learn, tomlkit"
tribeofai/toai,"attrs, fastparquet, fastprogress, funcy, imagehash, joblib, lightgbm, nb-black, numpy, pandas, pandas-profiling, pillow, pyarrow, scikit-image, scikit-learn, scikit-optimize, seaborn"
lemay-ai/companyClassifier,"joblib, keras, numpy, tensorflow, tqdm, transformers"
gianlucatruda/warfit-learn,"joblib, numpy, pandas, scikit-learn, scipy, tabulate, tqdm"
bf777/MesoNet,"notebook, windows"
ofnote/lightex,"docker, easydict, kubernetes"
microsoft/praxxis,"colorama, gitpython, ijson, ipykernel, nbopen, papermill, requests, setuptools, toml, urllib3"
learnables/learn2learn,"gsutil, gym, numpy, requests, scipy, torch, torchvision, tqdm"
google-deepmind/bsuite,"absl-py, numpy, pandas, scikit-image, scipy, six, termcolor"
Lightning-AI/deep-learning-project-template,pytorch-lightning
ShannonAI/service-streamer,"redis, tqdm"
lessw2020/Ranger-Deep-Learning-Optimizer,torch
ypeleg/HungaBunga,numpy
insilicomedicine/GENTRL,"numpy, pandas, scipy, torch"
nickkunz/smogn,"numpy, pandas, tqdm"
hukkelas/DSFD-Pytorch-Inference,numpy
M4cs/EasyModels,"pyside2, pysimpleguiqt, requests, terminaltables, tqdm"
juliuskunze/jaxnet,"dill, jax"
albertogaspar/dts,"joblib, numpy, pandas, pymongo, pyyaml, requests, sacred, scikit-learn, scipy, tqdm"
MIDASverse/MIDASpy,"numpy, pandas, scikit-learn, scipy, statsmodels, tensorflow-addons"
BingqingCheng/ASAP,"ase, click, numpy, pandas, pyyaml, scikit-learn, scipy, tqdm, umap-learn"
valeoai/DADA,"cffi, easydict, future, pyyaml, scikit-image, scipy, setuptools, tensorboardx, tqdm"
kootenpv/shrynk,"dill, fastparquet, pandas, pyarrow, sklearn"
jkoutsikakis/pytorch-wrapper,"numpy, scikit-learn, six, torch, tqdm"
mendezVKI/MODULO,"ipykernel, ipython, ipywidgets, numpy, scikit-learn, scipy, tqdm"
damianhorna/multi-imbalance,"coverage, imbalanced-learn, ipython, numpy, pandas, pytest, pytest-cov, scikit-learn, seaborn"
neurora/NeuroRA,"mne, nibabel, numpy, scikit-image, scikit-learn, scipy"
CleanPegasus/coffeeshop,"keras, slackclient"
MadryLab/cox,"gitpython, grpcio, py3nvml, tqdm"
ml-tooling/lazycluster,"cloudpickle, fabric"
umangjpatel/kerax,"dill, jax, msgpack-python, numpy, pandas, tensorflow, tensorflow-datasets, tqdm"
danpovey/filtering,"numpy, torch"
fhalab/evSeq,"biopython, bokeh, colorcet, gooey, holoviews, numpy, openpyxl, pandas, scipy, tqdm"
Near32/ReferentialGym,"docopt, h5py, numpy, opencv-python, pycocotools, scikit-image, scikit-learn, scipy, tensorboardx, torch, torchvision, tqdm"
parthnatekar/BioExp,"keras, numpy, opencv-python, pandas, pillow, simpleitk, tensorflow-gpu"
ttumiel/interpret,"numpy, pandas, pillow, torch, torchvision, tqdm"
datasciencecampus/green-spaces,"cachetools, humanfriendly, keras, numpy, opencv-python, pyproj, rasterio, scipy, shapely, tensorflow, tqdm"
banctilrobitaille/kerosene,numpy
ulissigroup/catgym,"asap3, ase, numpy, seaborn, tensorflow"
JiaPeng1234/MRI-Segmentation-Transformer,"dicom2nifti, nibabel, numpy, pydicom, pyyaml"
facebookresearch/fvcore,"numpy, pillow, pyyaml, tabulate, termcolor, tqdm, yacs"
aliutkus/speechmetrics,"librosa, numpy, pystoi, resampy, scipy, tensorflow, tqdm"
shobrook/sequitur,torch
hackobi/AI-Scalpel-Trading-Bot,"arrow, cachetools, ccxt, coinmarketcap, colorama, filelock, joblib, jsonschema, numpy, pandas, python-telegram-bot, requests, scikit-learn, scikit-optimize, scipy, sqlalchemy, tabulate, urllib3, wrapt"
facebookresearch/TorchRay,"importlib-resources, packaging"
natasha/slovnet,"navec, numpy, razdel"
spring-media/headliner,"nltk, pyyaml, scikit-learn, spacy, transformers"
rediscovery-io/remo-python,"filetype, requests"
AvalZ/WAF-A-MoLE,click
S-aiueo32/contextual_loss_pytorch,"torch, torchvision"
parasj/checkmate,"cvxpy, numpy, pandas, toposort"
lancopku/AdaMod,torch
SymJAX/SymJAX,"jax, networkx, numpy, scipy"
adobe/sbmc,"lz4, pandas, scikit-image, torch, torch-tools"
brohrer/cottonwood,numpy
arnedb/tsfuse,"cython, graphviz, numpy, pandas, pint, scikit-learn, scipy, six, statsmodels"
Emma926/paradnn,tensorflow
CCI-Bonn/HD-BET,"numpy, scikit-image, simpleitk, torch"
vanvalenlab/deepcell-tracking,"networkx, numpy, pandas, scikit-image, scipy"
cg3hci/py3DViewer,"ipywidgets, numba, numpy, pythreejs, scipy"
CCI-Bonn/HD-GLIO,"numpy, scikit-image, simpleitk, torch"
Chenxingyu1990/A-Boundary-Based-Out-of-Distribution-Classifier-for-Generalized-Zero-Shot-Learning,"numpy, scipy, torch"
ypeleg/MinimalIsAllYouNeed,"keras, numpy"
artitw/text2class,"pandas, tensorflow"
andreagiussani/Applied_Machine_Learning_with_Python,"catboost, gensim, imbalanced-learn, nltk, pandas, scikit-learn, seaborn, shap, tensorflow, xgboost, yfinance"
losDaniel/spot-connect,"boto3, netaddr, paramiko, path"
igor-morawski/HTPA32x32d,"imageio, numpy, opencv-python, pandas, pillow, scipy"
LichengXiao2017/deep-image-compression,"absl-py, argparse, numpy, opencv-python, tensorflow-gpu"
cmusatyalab/dronesearch,"fire, opencv-python, pyzmq, setuptools, tensorflow"
yuankaihuo/EasierPath,"numpy, pillow, pyyaml, qtpy, termcolor"
pmmilani/tbnns,"joblib, tensorflow"
yigbt/deepFPlearn,"chemprop, jsonpickle, keras, numpy, pandas, rdkit-pypi, scikit-learn, seaborn, tensorflow-gpu, umap-learn"
oreilly-japan/deep-learning-from-scratch-3,numpy
sooftware/kospeech,"python-levenshtein, torch"
socialfoundations/whynot,autograd
naszilla/naszilla,"autograd, click, cython, ipython, lightgbm, numpy, pandas, pathvalidate, pillow, scikit-image, scikit-learn, scipy, seaborn, statsmodels, tensorboard, tensorflow, tensorflow-estimator, tensorflow-gpu, torch, torchvision, tqdm, xgboost"
vita-epfl/trajnetplusplusbaselines,"joblib, numpy, pandas, pykalman, pysparkling, python-json-logger, scipy, torch, tqdm"
ageitgey/image_to_numpy,"numpy, pillow"
microsoft/MT-DNN,"boto3, colorlog, fairseq, future, numpy, pytest, pytorch-pretrained-bert, pyyaml, regex, scikit-learn, sentencepiece, tensorboard, tensorboardx, torch, tqdm, transformers"
coreylammie/MemTorch,"ipython, numpy, pandas, scipy, seaborn, sklearn, torch, torchvision"
deezer/linear_graph_autoencoders,"networkx, numpy, scikit-learn, scipy, tensorflow"
amidos2006/gym-pcgrl,"gym, numpy, pillow"
online-ml/chantilly,"cerberus, dill, flask, river"
xuehaouwa/Trajectory-Prediction-Tools,python-dotenv
NREL/alfabet,"joblib, nfp, pandas, pooch, scikit-learn, tqdm"
databrickslabs/feature-factory,python-dateutil
smujiang/WSITools,"joblib, numpy, opencv-python, openslide-python, pillow, scikit-image, scikit-learn, scipy, shapely, tensorflow, xlrd"
junkwhinger/jokerise,"celluloid, facenet-pytorch, numpy, opencv-python-headless, pillow, torch, torchvision, tqdm"
vita-epfl/trajnetplusplustools,"numpy, pykalman, scipy"
ahoarfrost/fastBio,"biopython, fastai, torch, torchvision"
jcborges/DeepStack,"keras, numpy, scikit-learn, tensorflow"
ferencberes/LNTrafficSimulator,"networkx, numpy, pandas, seaborn, tqdm"
vmarcella/deepdos,"colorama, numpy, pandas, python-iptables, scikit-learn, tinydb, wheel"
vita-epfl/trajnetplusplusdataset,"pysparkling, scipy"
gramener/gramex-nlg,"humanize, spacy"
leule/DCDS,"h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
etirouthier/keras_dna,"numpy, pandas, tensorflow"
josephsdavid/N2D,"numpy, scikit-learn, scipy, tensorflow, umap-learn"
vmware-archive/vhpc-toolkit,"colorama, coloredlogs, configparser, hvac, pyvim, pyvmomi, pyyaml, texttable, textwrap3"
RuedigerVoigt/exoskeleton,"aiodns, aiohttp, beautifulsoup4, chardet, compatibility, lxml, pymysql, requests, urllib3"
jjbrophy47/dare_rf,numpy
joschout/SubmodularMaximization,numpy
dqwei-lab/SPVec,"gensim, ipython, jieba, joblib, numpy, pandas, seaborn, tqdm"
microsoft/tempeh,"memory-profiler, numpy, pandas, pytest, requests, scikit-learn, scipy, shap"
exportcomments/exportcomments-python,"requests, six"
OE-FET/FraGVAE,"cairosvg, numpy, pandas, pillow, rdkit, tensorflow"
NextCenturyCorporation/MCS,colour
LempereurMat/deepevent,"googledrivedownloader, keras, numpy, scipy, tensorflow"
QUVA-Lab/e2cnn,"numpy, scipy, sympy, torch"
crowdbotp/OpenTraj,"numpy, pandas, pykalman, pyyaml, scipy, sklearn, tqdm"
ray-project/tune-sklearn,"scikit-learn, scipy"
dmmiller612/sparktorch,"dill, flask, requests, torch"
nimarb/pytorch_influence_functions,"numpy, torch"
Breakend/experiment-impact-tracker,"arrow, bs4, country-converter, geocoder, geopy, jinja2, joblib, numpy, pandas, py-cpuinfo, requests, scipy, seaborn, shapely, tqdm, ujson"
matteo-ronchetti/torch-radon,"alpha-transform, scipy"
conansherry/detectron2,"cloudpickle, imagesize, pillow, tabulate, tensorboard, termcolor, tqdm, yacs"
joaopauloschuler/k-neural-api,"numpy, opencv-python, pandas, scikit-image, scikit-learn"
twangnh/SimCal,"imagecorruptions, numpy, pycocotools, six, terminaltables, torch"
PaccMann/paccmann_predictor,"numpy, pandas, rdkit, scipy, torch, tqdm"
BINDS-LAB-UMASS/bindsnet,"cython, gym, numpy, opencv-python, pandas, pytest, scikit-image, scikit-learn, scipy, tensorboardx, torch, torchvision, tqdm"
lcx366/ATMOS,"astropy, numba, numpy, pandas, scipy"
amzn/basis-point-sets,"numpy, sklearn, tqdm"
HumanCompatibleAI/learning-from-human-preferences,scipy
PaccMann/paccmann_datasets,"dill, diskcache, importlib-resources, numpy, pandas, pubchempy, pyfaidx, rdkit, scikit-learn, selfies, torch, unidecode"
zhongxia96/SemSUM,"cffi, numpy, sacrebleu, torch, tqdm"
nlpaueb/bioCaption,bs4
wiatrak2/ml_monitor,"daiquiri, prometheus-client, pyyaml"
FrancescoCrecchi/Multiscale-Parametric-t-SNE,"keras, numba, numpy, scikit-learn, tensorflow, tqdm"
jwa7/quantum_HEOM,"cython, numpy, scipy"
monocongo/cvdata,"contextlib2, imagehash, lxml, opencv-python, pandas, pillow, tensorflow-cpu, tqdm"
PaccMann/paccmann_chemistry,"numpy, torch"
coljac/sensie,"numpy, pandas, pymc3, scikit-learn, scipy"
floriancochard/extract-data-from-paper,"numpy, opencv-python, pandas, pytesseract, scikit-image, scikit-learn"
KevinMusgrave/record-keeper,"numpy, torch"
XU-YaoKun/PERec,"numpy, torch, tqdm, yacs"
atharris/basilisk_env,"gym, numpy, pandas"
bigbio/DLEAMSE,"faiss-cpu, numba, numpy, torch"
PaccMann/paccmann_generator,"numpy, pandas, seaborn"
Nathanlauga/transparentai,"energyusage, ipywidgets, numpy, pandas, safety, scikit-learn, seaborn, shap"
UWNETLAB/Nate,"gensim, joblib, networkx, numba, pandas, pillow, spacy, stop-words"
ritchie46/sequence,"nltk, numpy, patool, pyunpack, tensorboardx, torch"
sahanbull/TrueLearn,"mpmath, nltk, numpy, pandas, pyspark, scikit-learn, scipy, trueskill, ujson, xmltodict"
bcmi220/ggdp,"boto3, filelock, numpy, requests, tqdm"
sudo-rushil/dgaintel,"numpy, tensorflow"
benedekrozemberczki/karateclub,"decorator, gensim, networkx, numpy, pandas, python-levenshtein, scikit-learn, scipy, six, tqdm"
dingjiansw101/AerialDetection,"numpy, pycocotools, six, terminaltables"
alankbi/detecto,"opencv-python, pandas, torch, torchvision, tqdm"
AmazingDD/daisyRec,"colorama, numpy, pandas, pyyaml, scikit-learn, scipy, torch, tqdm"
jidasheng/bi-lstm-crf,"numpy, pandas, torch, tqdm"
google-deepmind/dm_memorytasks,"absl-py, docker, grpcio, numpy, portpicker"
HEmile/storchastic,"packaging, pyro-ppl, torch"
joeaortiz/gbp,"networkx, numpy, scipy"
wookayin/expt,"multiprocess, numpy, pandas, pyyaml, scipy, typeguard, typing-extensions"
spiegelib/spiegelib,"librosa, numpy, tensorflow, tqdm"
nadavbra/pwas,"biopython, numpy, pandas, scipy, statsmodels"
CMGreenspon/NCams,"astropy, easygui, moviepy, numpy, opencv-contrib-python, pyyaml, reportlab, scipy"
gv20-therapeutics/antibody-in-pytorch,"ipython, jupyter, pandas, scikit-learn, scipy, seaborn, torch, torchvision"
dhlab-epfl/dhSegment-torch,"albumentations, pretrainedmodels"
BusinessOptics/fn_graph,"graphviz, networkx"
RainingComputers/pykitml,"graphviz, numpy, tqdm"
artitw/BERT_QA,"sentencepiece, tensorflow, tensorflow-gpu"
