full_name,included_libraries
timothygebhard/doi2bibtex,"beautifulsoup4, isbnlib, pylatexenc, pyyaml, requests, rich, unidecode"
nbouziani/physics-driven-ml,tqdm
jivankandel/PUResNetV2.0,numpy
payamparvizi/adaptive_optics_gym,gym
SavindraSinghShekhawat/iitmbsvideosdownloader,"chromedriver-autoinstaller-fix, requests, selenium"
ramondalmau/metafora,"dataclasses, marshmallow"
trevorhobenshield/twitter-api-client,"aiofiles, httpx, m3u8, nest-asyncio, orjson, tqdm, websockets"
dbolya/tomesd,torch
MasterBin-IIAU/UNINEXT,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
dvlab-research/VoxelNeXt,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
PJLab-ADG/3DTrans,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
ziqihuangg/Collaborative-Diffusion,"numpy, torch, tqdm"
NUS-HPC-AI-Lab/InfoBatch,torch
lucidrains/st-moe-pytorch,"beartype, einops, einx, torch"
jeffffffli/NIKI,"boto3, dotmap, easydict, ffmpeg-python, future, matplotlib, numpy, opencv-python, pycocotools, pyyaml, scikit-learn, six, terminaltables, tqdm"
hujiecpp/YOSO,"cloudpickle, future, matplotlib, mock, pillow, pycocotools, pydot, scipy, tabulate, tensorboard, termcolor, tqdm, yacs"
TiankaiHang/Min-SNR-Diffusion-Training,"blobfile, tensorboard, timm, torch, tqdm, wandb"
lucidrains/CoLT5-attention,"einops, packaging, torch"
junhsss/consistency-models,"diffusers, lpips, pillow, pytorch-lightning, torch, torchmetrics, torchvision"
essunny310/FreestyleNet,"numpy, torch, tqdm"
adobe-research/affordance-insertion,"numpy, torch, tqdm"
brucewlee/lftk,"pandas, spacy"
PingchuanMa/NCLaw,"einops, hydra-core, numpy, pyvista, scipy, tensorboard, tqdm, trimesh"
xh-liu/SDG_code,"blobfile, tqdm"
lucidrains/TPDNE,"beartype, einops, jinja2, numpy, pillow"
tinyvision/SOLIDER-REID,"h5py, numpy, opencv-python, timm, torch, torchvision, yacs"
skyhehe123/MSF,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
Nightmare-n/PVT-SSD,"easydict, numba, numpy, pycocotools, pyyaml, terminaltables, timm, tqdm"
TrustAIResearch/MLHospital,"art, runx, torchvision"
cedrickchee/transformers-llama,importlib-metadata
WoodwindHu/DTS,"easydict, numba, numpy, pyyaml, torch"
UofT-EcoSystem/hotline,"humanize, ipython, numpy, orjson, pandas, pytest, tabulate, torch, torchinfo, torchvision"
KPeng9510/MuscleMap,"av, fairscale, matplotlib, opencv-python, pandas, pyyaml, simplejson, sklearn, tensorboard, termcolor, torchvision, tqdm, yacs"
bgalitsky/Truth-O-Meter-Making-ChatGPT-Truthful,"numpy, pandas, requests, spacy"
ming71/GCIoU-loss,"easydict, numba, numpy, pyyaml, spconv, torch"
wzcai99/XuanCE-Tiny,"gym, matplotlib"
jonathsch/lidar-synthesis,"hydra-core, pytorch-lightning"
Azure-Samples/cognitive-service-vision-model-customization-python-samples,"azure-cognitiveservices-vision-customvision, azure-storage-blob, cffi, opencv-python-headless, requests, tqdm"
Keycatowo/rough-set,pandas
layer6ai-labs/tr0n,"ftfy, h5py, ninja, pycocotools, pytorch-fid, regex, tensorboard, torch, torchvision, tqdm, transformers"
skydiving94/gpt-sh,shell-gpt
symbench/Anvil,"matplotlib, numpy, pandas, pydoe"
gkamtzir/mlops-scaffold,"matplotlib, mlflow, numpy, pandas, scikit-learn, scikit-optimize"
qiaolian9/Torch2Tensor,"loguru, tabulate, torch, torchvision, xgboost"
tinyvision/SOLIDER-PedestrianDetection,"matplotlib, numpy, pycocotools, six, terminaltables, torch"
Romain3Ch216/TlseHypDataSet,"geopandas, h5py, matplotlib, numpy, ortools, rasterio, scikit-image, scipy, seaborn, torch, torchvision"
IceClear/StableSR,"numpy, torch, tqdm"
lucidrains/naturalspeech2-pytorch,"accelerate, beartype, einops, inflect, num2words, pydantic, pyworld, torch, tqdm, vector-quantize-pytorch"
kagisearch/vectordb,"faiss-cpu, numpy, scikit-learn, scipy, sentence-transformers, tensorflow-text, torch, transformers"
psyker-team/mist,"numpy, torch, tqdm"
IDEA-Research/HumanSD,"numpy, torch, tqdm"
lucidrains/simple-hierarchical-transformer,"accelerate, einops, torch"
kakaobrain/trident,"matplotlib, pandas, pytest"
minyoungg/vqtorch,torch
lucidrains/mixture-of-attention,"einops, torch"
Kami-code/dexart-release,"gym, numpy, open3d, sapien, transforms3d"
CrystalEye42/OpenChemIE,"numpy, torch, transformers"
Matt-OP/hillclimbers,"colorama, numpy, pandas, plotly"
imatge-upc/slt_how2sign_wicv2023,cffi
maxvandenhoven/blenderline,"bpy, numpy, opencv-python, pyyaml"
LS4GAN/uvcgan4slats,"numpy, pandas, pillow, tqdm"
enfantbenidedieu/scientisttools,"mapply, matplotlib, numpy, pandas, pingouin, plotnine, polars, scientistmetrics, scikit-learn"
HemantKArya/lsHotword,"matplotlib, numpy, pyaudio, pydub, pyqt6, scipy, tensorflow"
kyegomez/Pegasus,"hnswlib, pandas, pydantic, requests, typing-extensions"
haotian-liu/transformers_llava,importlib-metadata
lucidrains/MEGABYTE-pytorch,"beartype, einops, packaging, torch, tqdm"
noahho/CAAFE,"kaggle, openml"
penn-pal-lab/LIV,"flatten-dict, gdown, huggingface-hub, hydra-core, matplotlib, moviepy, opencv-python, pandas, pillow, scikit-learn, scikit-video, scipy, tabulate, termcolor, torch, torchvision, transforms3d, wandb"
lucidrains/MaMMUT-pytorch,"einops, torch"
Liang-ZX/AdaptDiffuser,"einops, numpy, pillow, torch, torchvision, tqdm"
MingLunHan/CIF-HieraDist,"cffi, cython"
liyang619/COLE-Platform,"flask, scipy, tensorboard, tqdm"
roboflow/cvevals,"matplotlib, numpy, opencv-python"
koutilya-pnvr/LD-ZNet,"numpy, torch, tqdm"
fabprezja/keras-gpt-copilot,"numpy, pyperclip, tensorflow"
iMED-Lab/COSTA,"einops, monai, numpy, openpyxl, prettytable, rich, thop, torch, torchio"
tencent-ailab/TriNet,cffi
lgomezt/tidyX,"emoji, nltk, numpy, pandas, regex, spacy, thefuzz, unidecode"
mtkresearch/shortest-path-diffusion,"blobfile, pyyaml, scipy, tensorboard, torch, torchvision, tqdm"
shahriar-rahman/Amazon-Product-Scraping,"matplotlib, openpyxl, pandas, seaborn, selenium, setuptools"
Ayyodeji/SiameseNeuralNetwork,"keras, numpy, opencv-python, pandas, scikit-learn, tensorflow"
weigertlab/tarrow,"dill, gitpython, imagecodecs, imageio, matplotlib, numba, numpy, pandas, pre-commit, pyyaml, requests, scikit-image, scikit-learn, scipy, tensorboard, tifffile, torch, torchvision, tqdm"
Amporu/Taisim,requests
mbilos/tsdiff,"gluonts, matplotlib, numpy, pytest, pytorch-lightning, pytorchts, scipy, seaborn, torch, torchsde"
Eric-Canas/webcam,"numpy, opencv-python"
daeveraert/gradient-information-optimization,"jax, jaxlib, numpy, pandas, pyspark, sentence-transformers"
kentechx/pointnet,"einops, taichi, torch"
LanrenzzzZ/ST2,"gitpython, gym, matplotlib, numpy, scipy, torch, torchvision"
agaravaglia/unit-tests-ml-pipelines,"numpy, pandas, scikit-learn"
OpenMotionLab/MotionGPT,"numpy, torch, tqdm"
MIC-DKFZ/MedNeXt,"dicom2nifti, matplotlib, medpy, numpy, pandas, requests, scikit-image, scikit-learn, scipy, simpleitk, tifffile, torch, tqdm"
lucidrains/spear-tts-pytorch,"beartype, einops, torch, tqdm"
lucazanella/AnomalyCLIP,"hydra-core, lightning"
facebookresearch/ProcedureVRL,"av, matplotlib, opencv-python, pandas, pyyaml, simplejson, sklearn, tensorboard, termcolor, torchvision, tqdm, yacs"
mlfoundations/tableshift,"category-encoders, datasets, einops, fairlearn, frozendict, h5py, kaggle, numpy, openpyxl, optuna, pandas, ray, scikit-learn, tables, torch, torchinfo, torchvision, tqdm, xport"
yuanqidu/M2Hub,"ase, lmdb, matplotlib, numba, pre-commit, pydantic, pymatgen, pyyaml, rdkit, scikit-learn, scipy, submitit, syrupy, torch, torch-geometric, torch-scatter, torchaudio, torchvision, tqdm, wandb"
FLAIR-Community/Fling,"click, easydict, einops, lmdb, numpy, portalocker, prettytable, scipy, setuptools, six, tensorboard, timm, torch, torchvision, tqdm"
WENGSYX/LMTuner,"datasets, numpy, nvidia-ml-py, sentencepiece, torch, transformers"
MCG-NJU/EVAD,"av, matplotlib, opencv-python, pandas, pyyaml, simplejson, sklearn, tensorboard, termcolor, tqdm, yacs"
Sygil-Dev/muse-maskgit-pytorch,"accelerate, beartype, datasets, diffusers, einops, pillow, pytorch-lightning, sentencepiece, torch, torchmetrics"
Orion-AI-Lab/televit,"hydra-core, pytorch-lightning"
cwlkr/torchvahadane,"numpy, opencv-python, scipy, torch, tqdm"
WojtekFulmyk/mlcausality,"numpy, pandas, scikit-learn, scipy, statsmodels"
kyegomez/VisualNexus,"gradio, matplotlib, opencv-python, pandas, pillow, pyyaml, requests, scipy, seaborn, torch, torchvision, tqdm"
ajayarunachalam/gui-pandas-ai,"datapane, lux-api, pandasai, seaborn, streamlit"
joslefaure/HIT_ava,"cython-bbox, easydict, matplotlib, opencv-python, scipy, tqdm, yacs"
fnozarian/ReliableStudent,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
autodistill/autodistill-dinov2,"numpy, pillow, scikit-learn, supervision, torch, torchvision, tqdm"
CollaborationBettersTheWorld/LLM_Mini_Series_Part_I,click
EhsanGharibNezhad/TelescopeML,"astropy, bokeh, jupyterlab, keras, matplotlib, numpy, pandas, scikit-learn, scipy, seaborn, sphinx, tensorflow"
NicklasVraa/Color-manager,"pillow, tqdm"
ip200/venn-abers,"numpy, pandas, scikit-learn"
young-geng/scalax,"einops, jax, numpy"
shikras/d-cube,"matplotlib, numpy, opencv-python, pycocotools"
BubbleJoe-BrownU/TransformerHub,torch
zhangyikaii/LAMDA-ZhiJian,"datasets, numpy, pytorch-metric-learning, pyyaml, timm, torch, torchvision, tqdm, transformers"
FudanDISC/ReForm-Eval,"datasets, pycocoevalcap, scikit-learn, tqdm"
JanEGerken/HEAL-SWIN,"astropy, databricks-cli, dill, einops, entrypoints, google-auth, google-auth-oauthlib, matplotlib, mlflow, numpy, opencv-python-headless, packaging, pandas, pytorch-lightning, pyyaml, scipy, tensorboard, timm, torch, torchmetrics, torchvision, tqdm"
NPURG/FaKnow,"gensim, jieba, nltk, numpy, pandas, pillow, scikit-learn, sphinx-markdown-tables, tensorboard, tqdm, transformers"
automl/RNAformer,"datasets, deepspeed, loralib, matplotlib, numpy, packaging, pandas, polars, pytorch-lightning, pyyaml, scikit-learn, scipy, tabulate, tensorboard, torch, torchaudio, torchvision, tqdm, transformers, wheel"
NYCU-MAPL/TransTIC,"matplotlib, numpy, scipy, torch, torchvision"
arminnorouzi/patentGPT,"aiohttp, aiosignal, anyio, asttokens, attrs, backcall, beautifulsoup4, certifi, cffi, chardet, chroma-hnswlib, chromadb, click, colorama, coloredlogs, comm, cryptography, debugpy, decorator, et-xmlfile, executing, faiss-cpu, fastapi, filetype, flatbuffers, frozenlist, greenlet, h11, httptools, humanfriendly, idna, importlib-resources, ipykernel, ipython, jedi, joblib, jupyter-client, jupyter-core, langchain, langsmith, lxml, markdown, marshmallow, matplotlib-inline, monotonic, mpmath, multidict, nest-asyncio, nltk, numpy, olefile, onnxruntime, openapi-schema-pydantic, openpyxl, packaging, pandas, parso, pdfminer-six, pickleshare, pillow, platformdirs, posthog, prompt-toolkit, pycodestyle, pycparser, pydantic, pygments, pypandoc, pypika, pyreadline3, python-dateutil, python-docx, python-dotenv, python-magic, python-pptx, pytz, pyyaml, pyzmq, regex, requests, six, sniffio, soupsieve, sqlalchemy, stack-data, starlette, sympy, tabulate, tenacity, tiktoken, tokenizers, tornado, tqdm, traitlets, typing-extensions, typing-inspect, tzdata, unstructured, urllib3, uvicorn, watchfiles, wcwidth, websockets, xlrd, xlsxwriter, yarl"
LMU-Seminar-LLMs/TopicGPT,"gensim, hdbscan, nltk, numpy, pandas, plotly, regex, scikit-learn, seaborn, sentence-transformers, tiktoken, tokenizers, tqdm, umap-learn"
WRHGroup/PyLandslide,"click, geopandas, numpy, pandas, rasterio, scikit-learn"
idslme/IDSL_MINT,"joblib, matplotlib, numpy, openpyxl, pandas, pathlib, pyyaml, rdkit, torch, torchinfo, tqdm"
Exploration-Lab/ScriptWorld,"gym, networkx"
V3Det/Detectron2-V3Det,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
cure-lab/DiffGuard,"blobfile, torch, tqdm"
Mxbonn/ltmp,"numpy, pillow, scipy, timm, torchvision, tqdm"
pBFSLab/SUGAR,"numpy, scipy"
google-deepmind/ccbo,"absl-py, emukit, graphviz, matplotlib, networkx, numpy, pygraphviz, scikit-learn, scipy, typing-extensions"
lamm-mit/MateriomicTransformer,"accelerate, biopython, click, einops, fsspec, ipywidgets, jupyterlab, kornia, matplotlib, numpy, opencv-python, packaging, pandas, pillow, py3dmol, pydantic, pytorch-lightning, rdkit, scikit-learn, seaborn, tensorflow-cpu, torch, torch-geometric, torchvision, tqdm"
youngwanLEE/UAD,"cloudpickle, matplotlib, pillow, tabulate, tensorboard, termcolor, tqdm, yacs"
thieu1995/MetaCluster,"kaleido, mealpy, numpy, pandas, permetrics, plotly, scikit-learn, scipy"
NEU-REAL/MTM-Tracker,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
shahriar-rahman/Netflix-Customer-Retention-using-GPR,"joblib, matplotlib, numpy, pandas, scikit-learn, seaborn, setuptools, sklearn"
SKbarbon/flet_translator,"deep-translator, flet, sacremoses"
Muhamed555/zein,"joblib, pandas, scikit-learn, tensorflow"
llSourcell/Doctor-Dignity,"numpy, scipy, timm, torch, transformers"
lucidrains/voicebox-pytorch,"accelerate, beartype, einops, torch, torchode, vocos"
rezaakb/pinns-torch,"hydra-core, matplotlib, pydoe, rich, scipy, tqdm"
HMUNACHI/nanodl,"einops, flax, jax, jaxlib, optax, sentencepiece"
lucidrains/speculative-decoding,"beartype, einops, torch"
diffusion-face-relighting/difareli_code,"torch, tqdm"
necla-ml/Diff-JPEG,"opencv-python, torch"
trevorhobenshield/amazon_photos,"nest-asyncio, tqdm"
dorukcanga/AutoFeatSelect,"boruta, category-encoders, lightgbm, xgboost"
DeepDoNet/DoNet,"cloudpickle, future, matplotlib, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
LoopMind-AI/loopquest,"datasets, gymnasium, huggingface-hub, pydantic, python-dotenv, stable-baselines3"
DPIRD-DMA/CloudS2Mask,"fastai, gdown, rasterio, timm, tqdm"
wheelos-tools/whl-pcdviz,"numpy, open3d, pyyaml, scikit-image"
gitHBDX/TransfoRNA,"anndata, biopython, dill, huggingface-hub, hydra-core, imbalanced-learn, levenshtein, matplotlib, numpy, pandas, plotly, pyyaml, rich, scanpy, scikit-learn, tensorboard, torch, transformers, viennarna"
webber2933/iCLIP,"cython-bbox, easydict, matplotlib, opencv-python, scipy, tqdm, yacs"
yangbincv/GUR,"faiss-gpu, h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
wjbmattingly/bagpipes-spacy,spacy
Pinak-Datta/wiz-craft,"numpy, pandas, pandoc, scikit-learn, scipy"
Tinny-Robot/DimSense,"matplotlib, numpy, pandas, scikit-learn, tensorflow"
mjalali/renyi-kernel-entropy,numpy
SSSYDYSSS/TransProPy,"numpy, pandas, scikit-learn, setuptools, tqdm"
zengjianhao/CAT-DM,"numpy, torch, tqdm"
ArikReuter/TopicGPT,"gensim, hdbscan, nltk, numpy, pandas, plotly, regex, scikit-learn, seaborn, sentence-transformers, tiktoken, tokenizers, tqdm, umap-learn"
microsoft/PhysioPro,"biosppy, numba, pandas, scipy, sktime, tensorboard, torch, torchcde, torchvision, tqdm"
changhaonan/OVSG,numpy
fsndzomga/anonLLM,"faker, pydantic, spacy"
damaggu/TADP,"numpy, torch, tqdm"
kaieberl/paper2speech,"beautifulsoup4, nougat-ocr, transformers"
lucidrains/evolutionary-design-molecules,"beartype, einops, torch, vector-quantize-pytorch"
CellTrackingChallenge/py-ctcmetrics,"imagecodecs, numpy, opencv-python, pandas, scikit-learn, scipy, tifffile"
batistagroup/ChemSpaceAL,"numpy, pandas, pyyaml, rdkit, scikit-learn, torch, tqdm, wandb"
Junjie-Zhu/IDPFold,"hydra-core, lightning"
wncc/UniTrain,"numpy, opencv-python, pandas, torch, torchvision"
SheepTAO/dpeeg,"einops, numpy, openpyxl, pandas, pooch, scikit-learn, scipy, seaborn, tensorboard, torchinfo, torchmetrics, tqdm"
Jen-Hung-Ho/ros2_jetbot_tools,setuptools
CDAL-SChoi/BigSMILES_homopolymer,"numpy, openpyxl, pandas, rdkit, regex"
smrfeld/dash-annotate-cv,"dash, dash-bootstrap-components, dataclasses, pandas, pillow, plotly, pyyaml, scikit-image"
drzeeshanahmed/IntelliGenes,"altgraph, cloudpickle, contourpy, cycler, fonttools, joblib, kiwisolver, matplotlib, numba, numpy, packaging, pandas, pillow, pyinstaller, pyinstaller-hooks-contrib, pyparsing, python-dateutil, pytz, scikit-learn, scipy, seaborn, shap, six, slicer, threadpoolctl, tqdm, tzdata, xgboost"
nipponjo/arabic_vocalizer,"numpy, onnxruntime-gpu"
scRNA-Compt/EasyDesign,"fastapi, numpy, pandas, python-multipart, scipy, tensorflow, uvicorn"
jangerritha/CycleIK,"gdown, matplotlib, networkx, numpy, open3d, opencv-python, optuna, pillow, torch, torchvision, tqdm"
Tanuki/tanuki.py,"appdirs, bitarray, numpy, pydantic, python-dotenv, requests"
lucidrains/iTransformer,"beartype, einops, torch"
zhanggang001/HEDNet,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
cvlab-yonsei/ACLS,"albumentations, flake8, hydra-core, ipdb, matplotlib, numpy, opencv-python, scipy, terminaltables, torch, torchvision"
tpys/ai-models-fuxi,"onnx, onnxruntime"
Hasindri/HLSS,"matplotlib, opencv-python, pandas, pip, pytest, pytorch-lightning, pyyaml, scikit-image, scikit-learn, setuptools, tensorboard, tifffile, timm, torch, torchvision, tqdm"
EtashGuha/R2CCP,"certifi, idna, mpmath, numpy, pyinterval, pytorch-lightning, scikit-learn, scipy, six, torch, torchvision, tqdm, urllib3"
autodistill/autodistill-metaclip,"numpy, supervision, transformers"
dariubs/producthunt.py,"graphene, requests"
helliun/perspectives,"graphviz, hatchling, pydot, sentence-transformers, tqdm, transformers"
Graph-COM/GESS,"joblib, matplotlib, munch, numpy, pandas, pyyaml, rdkit, rdkit-pypi, ruamel-yaml, scikit-learn, setuptools, tqdm, typed-argument-parser"
QutacQuantum/qugen,"cma, colorama, flax, jax, jaxlib, matplotlib, numpy, optax, pandas, pennylane, pytest, scipy, setuptools, tqdm"
DS4SD/MolDepictor,shapely
gathnexadmin/Linkedin_Automation_with_Generative_AI,"beautifulsoup4, regex, requests"
lucidrains/meshgpt-pytorch,"accelerate, beartype, einops, huggingface-hub"
lucidrains/metnet3-pytorch,"beartype, einops, torch"
kirill-vish/Beyond-INet,"datasets, pandas, torch, torchvision, wandb"
lucidrains/gradnorm-pytorch,"accelerate, beartype, einops, torch"
lucidrains/mirasol-pytorch,"beartype, einops, torch, x-transformers"
lucidrains/gateloop-transformer,"einops, torch"
simular-ai/OpenACI,"pillow, pyautogui, requests, torchvision"
xvjiarui/IMProv,einops
gaarangoa/deeparg,"biopython, joblib, numpy, requests, scikit-learn, scipy, theano, tqdm"
NVIDIA/gpu_affinity,pynvml
hitachi-nlp/ensemble-metrics,"numpy, pydantic"
rafapablos/w4c23-rainai,pytorch-lightning
Mwni/chatformat,pyyaml
argmax-ai/aime,"dm-control, einops, gym, hydra-core, imageio, matplotlib, moviepy, mujoco, numpy, tensorboard, torch, torchvision, tqdm"
anzeyimana/DeepKIN,"cffi, distro, fastbpe, mutagen, packaging, sacremoses, seqeval, torchmetrics"
ApolloAuto/apollo-model-yolo3d,"hydra-core, pytorch-lightning"
lab42-global/sic42,"ffmpeg-python, matplotlib, numpy, pandas, pillow, pygame, tqdm"
horseee/DeepCache,"diffusers, torch, transformers"
lucidrains/taylor-series-linear-attention,"einops, jaxtyping, torch"
lucidrains/agent-attention-pytorch,"einops, torch"
Profluent-Internships/MMDiff,"hydra-core, lightning"
amazon-science/c2f-seg,"cvbase, matplotlib, numpy, opencv-python, packaging, pandas, pycocotools, scikit-image, tensorboard, tqdm"
HunterJ-Lin/WSOVOD,graphviz
yaorong0921/DynStatF,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
Nirhoshan/NetDiffus,"blobfile, torch, tqdm"
business-science/pymodeltime,"autogluon, h2o, mlforecast, pandas, pip, pmdarima, prophet, pytimetk, scikit-learn, setuptools, statsmodels, torch, torchvision, wheel, xgboost"
jrazi/repo2file4gpt,tqdm
cvlab-yonsei/RankMixup,"albumentations, flake8, hydra-core, ipdb, matplotlib, opencv-python, pandas, plotly, terminaltables, torch, torchvision, wandb"
zmzhang2000/trustworthy-alignment,"accelerate, datasets, deepspeed, sentencepiece, tensorboard, torch, transformers"
lucidrains/self-rewarding-lm-pytorch,"accelerate, beartype, einops"
herche-jane/IntelliScraper,"beautifulsoup4, requests, scikit-learn, utils"
lucidrains/CALM-pytorch,"accelerate, beartype, einops, torch, tqdm, x-transformers"
lucidrains/AMIE-pytorch,"accelerate, beartype, einops, einx, torch, tqdm"
marcellszi/rna3db,"biopython, pre-commit, tqdm"
amjadmajid/BabyTorch,"graphviz, matplotlib, numpy"
BioMed-AI-Lab-U-Michgan/cosign,"albumentations, blobfile, cython, joblib, lmdb, numpy, pandas, scipy, torch, tqdm"
shuoyang2000/neural_hybrid_cbf,"cvxpy, gym, matplotlib, numba, numpy, pillow, pyglet, pyyaml, scipy, tensorboard, termcolor, torch, torchvision, tqdm"
Say2L/DCDet,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
yandricr/gpti-py,requests
aws-samples/amazon-bedrock-synthetic-manufacturing-data-generator,"aws-cdk-lib, boto3, cfn-lint, pre-commit, pytest"
ireaml/defects_workflow,"aiida-vasp, ase, monty, numpy, pandas, pymatgen, seaborn"
mit-han-lab/distrifuser,"diffusers, torch, tqdm, transformers"
lucidrains/lumiere-pytorch,"beartype, einops, torch, x-transformers"
dsx0511/ADA-Track,"mlflow, mmsegmentation"
2toinf/DecisionNCE,"chardet, gdown, mmengine, numpy, timm, torch, torchvision, tqdm"
eezkni/FDL,torch
jfrog/mlflow-jfrog-plugin,"mlflow, requests"
berylliumsec/eclipse,"prompt-toolkit, requests, termcolor, torch, transformers"
zhnxjtu/CaKDP,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
anas-rz/k3-addons,keras
gaurang157/gvision,"av, numpy, opencv-python, opencv-python-headless, pandas, pillow, pyyaml, requests, roboflow, streamlit, streamlit-ace, supervision, tensorboard, torch, ultralytics"
xianggebenben/GraphSL,"ndlib, networkx, numpy, scikit-learn, scipy, torch, torch-geometric"
mlsquare/fedem,"accelerate, datasets, einops, huggingface-hub, peft, torch, transformers"
jla524/road-to-llm,"numpy, tiktoken"
capjamesg/knowledge-graph-language,"click, faiss-cpu, lark, numpy"
songweige/content-debiased-fvd,"einops, numpy, pillow, requests, scipy, torch, torchvision, tqdm"
NeuralVox/OpenPhonemizer,"cached-path, deep-phonemizer, num2words"
mxin262/Bridging-Text-Spotting,"cloudpickle, editdistance, matplotlib, numba, opencv-python, pillow, polygon3, rapidfuzz, scikit-image, shapely, tabulate, tensorboard, termcolor, timm, tqdm, yacs"
benedettaliberatori/T3AL,"hydra-core, lightning"
nku-zhichengzhang/ExtDM,"numpy, torch"
ZhangXinNan/building-deep-learning-framework,numpy
lukerbs/pytoon,"forcealign, moviepy, numpy, opencv-python, pillow, scipy"
cobanov/tasnif,"matplotlib, numpy, pillow, rich, scikit-learn, scipy, torch, torchvision, tqdm"
yujeong-star/RL_3DOD,"easydict, numba, numpy, pyyaml, scikit-image, spconv, torch, tqdm"
yangbincv/SDCL,"faiss-gpu, h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
yiduohao/Radical,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
danieltomer1/CVVideoPlayer,"matplotlib, numpy, opencv-python"
dsdanielpark/open-interview,"gtts, lxml, pygame, python-docx, python-gemini-api"
514flowey/JDet-cobb,"astunparse, numpy, opencv-python, pillow, pyyaml, shapely, terminaltables, tqdm"
AstraZeneca/MCPL,"numpy, torch, tqdm"
Brritany/MLstatkit,"numpy, pandas, scikit-learn, scipy, tqdm"
astramind-ai/BitMat,"bitsandbytes, numpy, torch, tqdm, transformers"
pabloruizponce/in2IN,"lightning, matplotlib, numpy, opencv-python, pillow, pykeops, scipy, smplx, tabulate, termcolor, torch, torchaudio, torchvision, tqdm, yacs"
crp94/textile,"einops, kornia, numpy, opencv-python, progressbar, torch, torchvision"
dhyuan99/VecKM,"matplotlib, matplotlib-inline, pillow, scikit-learn, scipy, torch, tqdm"
CJReinforce/RIME_ICML2024,"cloudpickle, gym, matplotlib, numpy, pandas, torch"
OpenDevin/OD-SWE-bench,"beautifulsoup4, chardet, datasets, ghapi, gitpython, python-dotenv, requests, rich, tqdm"
atharvaaalok/deepfusion,"matplotlib, numpy, setuptools, typing-extensions"
PGI15/snnax,"chex, equinox, jax"
Mayo-Radiology-Informatics-Lab/conflare,"accelerate, bitsandbytes, chromadb, pypdf, sentence-transformers, torch, transformers"
bizoffermark/neural_wos,"hydra-core, hydra-joblib-launcher, hydra-submitit-launcher, matplotlib, pandas, plotly, tqdm, wandb"
BioChemAI/DeepBlock,"bidict, biopython, easydict, fair-esm, halo, joblib, matplotlib, meeko, numpy, openbabel, orjson, ormsgpack, pandas, pexpect, pyyaml, rdkit, requests, scikit-learn, torch, tqdm, wandb, xgboost"
ispamm/Img2Img-SC,"numpy, torch, tqdm"
madyark/heart-rate-stream,"dagster, dagster-cloud, dbt-core, dbt-snowflake"
Akomand/CausalDiffAE,"blobfile, torch, tqdm"
roboflow/sports,"numpy, opencv-python, scikit-learn, sentencepiece, supervision, tqdm, transformers, umap-learn"
1ssb/torchkan,"torch, torchvision, tqdm, wandb"
adithya-s-k/YoloGemma,"accelerate, gradio, numpy, opencv-python, pillow, sentencepiece, tiktoken, torch, transformers"
PingchuanMa/SGA,"numpy, pyvista, tensorboard, torch, tqdm, trimesh, warp-lang"
trapoom555/GradeADreamer,"addict, asttokens, cmake, comm, dash, dash-core-components, decorator, deprecated, einops, fastapi, fastjsonschema, flask, huggingface-hub, ipywidgets, jedi, joblib, jupyter-core, jupyterlab-widgets, lit, marshmallow, nbformat, nest-asyncio, numpy, open3d, parso, pexpect, plotly, plyfile, prompt-toolkit, ptyprocess, pygltflib, pymeshlab, six, stack-data, tenacity, threadpoolctl, torch, tqdm, transformers, wrapt"
guyuehuo/opendock,"numpy, pandas"
alanqrwang/brainmorph,"gdown, h5py, matplotlib, numpy, ogb, outdated, pandas, pytz, scikit-image, scikit-learn, scipy, torch, torchio, torchvision"
ruvnet/agentic-employment,"fastapi, flake8, pip-upgrader, pytest, python-dotenv, setuptools, twine, uvicorn, wheel"
ZiyiZhang27/tdpo,absl-py
xmuqimingxia/HINTED,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
QuAIR/QuAIRKit,"matplotlib, numpy, pytest-xdist, readthedocs-sphinx-search, scipy, sphinx, sphinx-rtd-theme, torch"
QuantumLab-ZY/HamEPC,"mpi4py, natsort, numpy, pymatgen, pyyaml, torch, torch-geometric, tqdm"
trungpx/xmdpt,"blobfile, torch, tqdm"
