total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
126,"""multi modal"" AND ""AI""",docqai/docq,https://github.com/docqai/docq,2023-05-24T23:13:28+00:00,2025-04-29T03:40:27+00:00,2024-10-12T16:09:26+00:00,Python,64,13,64,53,False,"['ai', 'secure-by-default', 'turnkey', 'privacy', 'rag', 'chatbot', 'chatgpt', 'genai']",Private ChatGPT/Perplexity. Securely unlocks knowledge from confidential business information.
127,"""multi modal"" AND ""AI""",kyegomez/StarlightVision,https://github.com/kyegomez/StarlightVision,2023-05-10T11:39:23+00:00,2025-05-17T16:30:21+00:00,2023-08-18T14:56:50+00:00,Python,64,8,64,2,False,[],"A multi-modal AI Model that can generate high quality novel videos with text, images, or video clips."
128,"""multi modal"" AND ""AI""",geniusrise/geniusrise,https://github.com/geniusrise/geniusrise,2023-05-10T18:51:35+00:00,2024-08-18T15:53:20+00:00,2024-05-22T20:19:52+00:00,Python,60,4,60,8,False,"['ai', 'fine-tuning', 'cli', 'geniusrise', 'llmops', 'mlops', 'llm-framework', 'agent-based-framework', 'agentops']",Geniusrise: Framework for building geniuses
129,"""multi modal"" AND ""AI""",Gen-XR/TheiaEngine,https://github.com/Gen-XR/TheiaEngine,2023-05-30T12:15:28+00:00,2025-05-09T01:33:13+00:00,2024-12-16T15:26:46+00:00,Python,22,3,22,0,False,"['2d', '3d', 'ai', 'chat', 'computer-vision', 'deep-learning', 'face-recognition', 'generative-model', 'generator', 'gpt', 'llm', 'machine-learning', 'neural-network', 'object-detection', 'scene-understanding', 'vision']",All in one API to serve all Vision AI task
130,"""multi modal"" AND ""AI""",hemangjoshi37a/PersonalGoalAssistant,https://github.com/hemangjoshi37a/PersonalGoalAssistant,2023-05-07T05:28:22+00:00,2025-04-13T12:07:52+00:00,2023-05-07T12:06:49+00:00,Python,19,1,19,0,False,"['ai', 'automation', 'computer-vision', 'finance', 'mimic', 'natural-language-processing', 'personal-goals', 'productivity', 'reinforcement-learning', 'social-media', 'user-data', 'autonomous-agents', 'data-preprocessing', 'deep-learning', 'goal-setting', 'machine-learning', 'open-source', 'python']","AI-driven Personal Goal Assistant: Reinforcement learning-powered software mimics user behavior, interacts with computer inputs, and autonomously achieves goals in finance, social networking, and productivity. Open-source, Python-based RL agent."
131,"""multi modal"" AND ""AI""",hyeonsangjeon/AIsketcher,https://github.com/hyeonsangjeon/AIsketcher,2023-05-19T07:48:07+00:00,2024-01-16T00:08:57+00:00,2023-08-25T01:35:22+00:00,Python,14,0,14,0,False,"['aws', 'boto3', 'canny-edge-detection', 'controlnet', 'huggingface', 'huggingface-transformers', 'stable-diffusion', 'translate', 'opencv-python', 'controlnetmodel', 'pndmscheduler', 'stablediffusioncontrolnetpipeline']",Text-to-image generation using Huggingface stable diffusion ControlNet conditioning and AWS Translate's prompt translation function
132,"""multi modal"" AND ""AI""",kyegomez/The-Replicator,https://github.com/kyegomez/The-Replicator,2023-05-23T15:39:42+00:00,2025-05-22T08:25:32+00:00,2023-09-24T18:33:15+00:00,Python,10,4,10,0,False,[],Utilizing Autonomous Agents To Autonomously Create AI Models from a text prompt
133,"""multi modal"" AND ""AI""",kyegomez/OmniMorph,https://github.com/kyegomez/OmniMorph,2023-05-04T20:49:20+00:00,2025-05-17T16:30:12+00:00,2024-01-31T21:16:20+00:00,Python,10,1,10,0,False,[],Omni-modality embedding function designed to seamlessly handle and adapt to diverse data inputs. 
134,"""multi modal"" AND ""AI""",kyegomez/Meta-Tree-Of-Thoughts,https://github.com/kyegomez/Meta-Tree-Of-Thoughts,2023-05-28T22:16:54+00:00,2025-05-17T16:30:50+00:00,2023-06-05T17:45:53+00:00,Python,10,1,10,0,False,[],Tree of Thoughts with an meta prompt for 50% boost in model reasoning
135,"""multi modal"" AND ""AI""",OpenGVLab/LAMM,https://github.com/OpenGVLab/LAMM,2023-06-08T08:21:38+00:00,2025-05-30T20:50:03+00:00,2024-04-16T11:30:23+00:00,Python,314,17,314,9,False,[],[NeurIPS 2023 Datasets and Benchmarks Track] LAMM: Multi-Modal Large Language Models and Applications as AI Agents
136,"""multi modal"" AND ""AI""",kyegomez/PALM-E,https://github.com/kyegomez/PALM-E,2023-06-09T00:08:33+00:00,2025-05-30T06:27:41+00:00,2024-01-29T18:47:49+00:00,Python,304,45,304,9,False,"['artificial-intelligence', 'artificial-neural-networks', 'attention-is-all-you-need', 'attention-mechanism', 'deep-learning', 'deeplearning', 'gpt4', 'multimodal']","Implementation of ""PaLM-E: An Embodied Multimodal Language Model"""
137,"""multi modal"" AND ""AI""",Miracle-2001/GNN4EEG,https://github.com/Miracle-2001/GNN4EEG,2023-06-04T02:33:43+00:00,2025-05-14T10:42:27+00:00,2024-11-14T12:02:16+00:00,Python,87,16,87,6,False,[],
138,"""multi modal"" AND ""AI""",pleisto/yuren-baichuan-7b,https://github.com/pleisto/yuren-baichuan-7b,2023-06-26T00:38:02+00:00,2024-12-08T15:10:36+00:00,2023-12-07T09:01:15+00:00,Python,73,7,73,2,False,"['baichuan-7b', 'deep-learning', 'llm', 'multimodal', 'transformers']",基于baichuan-7b的开源多模态大语言模型
139,"""multi modal"" AND ""AI""",Yunkun-Zhang/CITE,https://github.com/Yunkun-Zhang/CITE,2023-06-01T06:36:35+00:00,2025-05-18T12:53:59+00:00,2024-01-09T12:01:58+00:00,Python,65,5,65,2,False,[],"Official code of MICCAI'23 paper ""Text-guided Foundation Model Adaptation for Pathological Image Classification"""
