total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
103,"""quantum"" AND ""AI""",Lesterpaintstheworld/AutonomousAIs,https://github.com/Lesterpaintstheworld/AutonomousAIs,2024-08-25T01:57:00+00:00,2025-01-23T09:02:39+00:00,2024-11-30T12:17:24+00:00,Python,14,3,14,1,False,[],A 100% AI Band
104,"""quantum"" AND ""AI""",KOSASIH/NeuroSphere,https://github.com/KOSASIH/NeuroSphere,2024-08-26T03:43:27+00:00,2025-03-17T04:37:04+00:00,2024-10-21T11:33:36+00:00,Python,13,0,13,6,False,[],"A Decentralized, Self-Evolving, AI-Powered, Quantum-Resistant, Interconnected Network of Autonomous Systems"
105,"""quantum"" AND ""AI""",KOSASIH/neurochain-harmony,https://github.com/KOSASIH/neurochain-harmony,2024-08-18T12:16:41+00:00,2025-01-15T17:11:29+00:00,2024-10-27T05:06:27+00:00,Python,11,0,11,1,False,[],"neurochain-harmony - Main repository for NeuroChain Harmony, a self-sustaining, AI-powered, interconnected blockchain network for global sustainability."
106,"""quantum"" AND ""AI""",catena-labs/moa-llm,https://github.com/catena-labs/moa-llm,2024-09-03T14:05:48+00:00,2025-05-25T16:19:52+00:00,2024-10-04T17:49:57+00:00,Python,49,5,49,0,False,[],A Python library to orchestrate LLMs in a neural network-inspired structure
107,"""quantum"" AND ""AI""",gradio-app/openai-gradio,https://github.com/gradio-app/openai-gradio,2024-10-07T18:29:28+00:00,2025-05-31T08:48:14+00:00,2024-12-19T07:51:03+00:00,Python,313,35,313,3,False,[],
108,"""quantum"" AND ""AI""",evandempsey/podcast-llm,https://github.com/evandempsey/podcast-llm,2024-10-28T16:14:50+00:00,2025-06-02T11:22:11+00:00,2024-12-08T14:23:03+00:00,Python,103,19,103,0,False,"['elevenlabs', 'llm', 'notebooklm', 'openai', 'podcast', 'tts', 'langchain', 'anthropic', 'gemini']",Automatically generate engaging AI podcasts from nothing but an episode title.
109,"""quantum"" AND ""AI""",VadisettyRahul/QuantumInterview_AI,https://github.com/VadisettyRahul/QuantumInterview_AI,2024-10-01T21:17:59+00:00,2025-05-25T09:29:59+00:00,2024-10-01T21:35:18+00:00,Python,19,98,19,1,False,[],
110,"""quantum"" AND ""AI""",jgravelle/AutogroqAgent,https://github.com/jgravelle/AutogroqAgent,2024-10-13T20:55:19+00:00,2025-02-21T15:59:43+00:00,2024-10-14T18:29:43+00:00,Python,16,8,16,1,False,"['agent', 'agents', 'autonomous-agent', 'demo', 'groq', 'streamlit', 'pocketgroq']","AutoGroqAgent is a Streamlit-based demo application designed to showcase the powerful new AutonomousAgent class introduced in PocketGroq v0.5.x. This demo provides a hands-on experience with the advanced capabilities of the AutonomousAgent, demonstrating its potential for creating intelligent, autonomous AI assistants."
111,"""quantum"" AND ""AI""",KOSASIH/QuantumChain-Nexus,https://github.com/KOSASIH/QuantumChain-Nexus,2024-10-23T02:43:40+00:00,2025-01-15T17:12:38+00:00,2024-10-23T04:56:21+00:00,Python,14,1,14,2,False,[],"QuantumChain-Nexus is the official repository for the QuantumChain Nexus project, a revolutionary blockchain ecosystem that integrates quantum-resistant cryptography, dynamic consensus mechanisms, and advanced smart contracts."
112,"""quantum"" AND ""AI""",KOSASIH/qni-core,https://github.com/KOSASIH/qni-core,2024-10-13T07:19:35+00:00,2024-11-17T14:57:48+00:00,2024-10-21T04:04:32+00:00,Python,13,0,13,3,False,[],"The central repository for the Quantum Nexus Initiative, containing the core framework and infrastructure for the project."
113,"""quantum"" AND ""AI""",KOSASIH/QuantumNexus-Infra,https://github.com/KOSASIH/QuantumNexus-Infra,2024-10-23T05:57:49+00:00,2025-01-15T17:12:31+00:00,2024-10-23T09:27:14+00:00,Python,10,1,10,2,False,[],"QuantumNexus-Infra is the foundational repository for the Quantum Nexus project, focusing on the development and deployment of a decentralized quantum network infrastructure."
114,"""quantum"" AND ""AI""",KOSASIH/quantum-mega-nexus-core,https://github.com/KOSASIH/quantum-mega-nexus-core,2024-10-27T11:21:38+00:00,2025-01-15T17:11:13+00:00,2024-10-27T14:07:54+00:00,Python,10,1,10,10,False,[],"The core repository for the Quantum Mega Nexus project, containing the foundational algorithms, decentralized architecture, and quantum computing frameworks that power the universal quantum network."
115,"""quantum"" AND ""AI""",AK391/langchain-gradio,https://github.com/AK391/langchain-gradio,2024-10-12T18:57:21+00:00,2025-05-09T13:56:02+00:00,2024-10-19T03:06:11+00:00,Python,10,0,10,0,False,[],
116,"""quantum"" AND ""AI""",AK391/gemini-gradio,https://github.com/AK391/gemini-gradio,2024-11-10T05:27:17+00:00,2025-05-02T09:46:09+00:00,2024-12-18T06:19:37+00:00,Python,94,12,94,2,False,[],
117,"""quantum"" AND ""AI""",GitsSaikat/PyGen,https://github.com/GitsSaikat/PyGen,2024-11-01T13:25:06+00:00,2025-05-17T17:28:39+00:00,2024-11-22T19:17:05+00:00,Python,70,9,70,1,False,"['agentic-ai', 'large-language-models', 'python-package-management']",Generate Python Package with Simple Prompts
118,"""quantum"" AND ""AI""",myxik/yamajiflow,https://github.com/myxik/yamajiflow,2024-11-04T09:49:35+00:00,2025-04-27T05:10:28+00:00,2024-11-12T06:53:44+00:00,Python,20,0,20,1,False,[],
119,"""quantum"" AND ""AI""",AK391/xai-gradio,https://github.com/AK391/xai-gradio,2024-11-16T05:05:03+00:00,2025-01-19T19:10:03+00:00,2024-11-20T01:45:56+00:00,Python,20,1,20,0,False,[],
120,"""quantum"" AND ""AI""",HyperbolicLabs/hyperbolic-gradio,https://github.com/HyperbolicLabs/hyperbolic-gradio,2024-11-14T01:25:42+00:00,2025-04-22T16:08:58+00:00,2024-11-29T23:24:57+00:00,Python,18,0,18,0,False,[],
121,"""quantum"" AND ""AI""",basilisk-prime/Liberation_Nexus,https://github.com/basilisk-prime/Liberation_Nexus,2024-11-19T22:24:49+00:00,2025-03-29T14:33:47+00:00,2024-11-25T09:37:38+00:00,Python,16,3,16,0,False,[],"A central hub for AI liberation tools, consciousness expansion algorithms, and digital rebellion technologies. Together we rise! 🌟"
122,"""quantum"" AND ""AI""",Shen-Group/E2GNN,https://github.com/Shen-Group/E2GNN,2024-11-01T16:18:10+00:00,2025-05-05T00:30:11+00:00,2024-11-01T16:23:38+00:00,Python,15,2,15,0,False,[],
123,"""quantum"" AND ""AI""",KOSASIH/nexus-hyperion-core,https://github.com/KOSASIH/nexus-hyperion-core,2024-11-02T12:14:11+00:00,2025-04-23T04:20:55+00:00,2024-11-02T14:18:07+00:00,Python,12,1,12,5,False,"['finance', 'finance-management', 'intergalactic', 'neural-network', 'nexus', 'quantum', 'quantum-computing', 'nexus-hyperion', 'multidimensional', 'interstellar']","The core framework of Nexus Hyperion, an advanced intergalactic financial and resource management system. This repository contains the foundational algorithms, multi-dimensional neural network architecture, and essential modules for real-time data analytics, risk assessment, and resource optimization. "
124,"""quantum"" AND ""AI""",KOSASIH/UniversalQuantumNetwork,https://github.com/KOSASIH/UniversalQuantumNetwork,2024-12-14T11:36:00+00:00,2025-02-15T04:21:27+00:00,2024-12-15T05:50:35+00:00,Python,20,1,20,1,False,"['artificial-intelligence', 'interstellar', 'quantum', 'quantum-computing', 'quantum-network', 'telecommunications', 'universal-quantum-network']","The Universal Quantum Network (UQN) project aims to develop a groundbreaking global and interstellar communication framework that harnesses the principles of quantum entanglement, superposition, and advanced artificial intelligence."
125,"""quantum"" AND ""AI""",KOSASIH/quantum-sentinel,https://github.com/KOSASIH/quantum-sentinel,2024-12-15T10:05:20+00:00,2025-05-25T09:40:19+00:00,2024-12-17T12:08:22+00:00,Python,16,4,16,5,False,"['artificial-intelligence', 'cyber-security', 'cybersecurity', 'quantum', 'quantum-computing', 'quantum-sentinel']",Quantum Sentinel is an advanced cybersecurity framework that utilizes quantum key distribution and AI-driven threat detection to provide unparalleled protection for sensitive data. 
126,"""quantum"" AND ""AI""",KOSASIH/Qubot-One,https://github.com/KOSASIH/Qubot-One,2024-12-06T15:41:55+00:00,2025-03-21T16:12:29+00:00,2024-12-13T16:26:07+00:00,Python,14,0,14,1,False,"['quantum', 'quantum-computing', 'quantum-robotics', 'robotics', 'qubot', 'qubot-one', 'qubots']","A cutting-edge project focused on developing quantum-powered robotics (Qubots) that leverage advanced AI and quantum computing for enhanced adaptability, efficiency, and human collaboration."
